Governorate,district,psu,Location.Name,popgroup,pop,stratum
Baghdad,al.risafa,2305058,Al Mashtal-751,idp_out_camp,11,al.risafaidp_out_camp
Baghdad,al.risafa,2305065,Al Nidhal-103,idp_out_camp,6,al.risafaidp_out_camp
Baghdad,al.risafa,2305069,Al Rasheed-112,idp_out_camp,7,al.risafaidp_out_camp
Baghdad,al.risafa,2305072,Al Riyadh-910,idp_out_camp,7,al.risafaidp_out_camp
Dahuk,sumail,1103039,Kherava,idp_out_camp,288,sumailidp_out_camp
Baghdad,al.risafa,2305097,Al Zaafaranyah-965,idp_out_camp,6,al.risafaidp_out_camp
Dahuk,sumail,1103040,Old Mam Shvana,idp_out_camp,85,sumailidp_out_camp
Baghdad,al.risafa,2305128,Al Maamil-781,idp_out_camp,6,al.risafaidp_out_camp
Baghdad,al.kadhmiyah,2306001,Ahmed Al Hamid village,idp_out_camp,7,al.kadhmiyahidp_out_camp
Dahuk,sumail,1103046,Old Sorka,idp_out_camp,68,sumailidp_out_camp
Baghdad,al.kadhmiyah,2306113,North Al Kadhimia-447,idp_out_camp,7,al.kadhmiyahidp_out_camp
Baghdad,al.karkh,2307011,Al Ghazaliya-649,idp_out_camp,34,al.karkhidp_out_camp
Baghdad,al.karkh,2307016,Al Ghazaliya-665,idp_out_camp,17,al.karkhidp_out_camp
Baghdad,al.karkh,2307025,Al Iskan(Al Masfi)-822,idp_out_camp,227,al.karkhidp_out_camp
Baghdad,al.karkh,2307033,Al Jazaer-818,idp_out_camp,16,al.karkhidp_out_camp
Baghdad,al.karkh,2307035,Al Jazera-808,idp_out_camp,40,al.karkhidp_out_camp
Baghdad,al.karkh,2307043,Al Mutanbi-603,idp_out_camp,12,al.karkhidp_out_camp
Baghdad,al.mahmoudiya,2307050,Al Raie 861,idp_out_camp,23,al.mahmoudiyaidp_out_camp
Baghdad,al.karkh,2307063,Al Toma(Al Masfi)-826,idp_out_camp,174,al.karkhidp_out_camp
Baghdad,al.karkh,2307068,Al Yarmouk-610,idp_out_camp,48,al.karkhidp_out_camp
Baghdad,al.mahmoudiya,2307093,Al Radwania,idp_out_camp,114,al.mahmoudiyaidp_out_camp
Baghdad,al.karkh,2307097,Al Amerya-632,idp_out_camp,156,al.karkhidp_out_camp
Dahuk,zakho,1104012,Chamkork,idp_out_camp,100,zakhoidp_out_camp
Baghdad,al.karkh,2307099,Al Amerya-636,idp_out_camp,252,al.karkhidp_out_camp
Baghdad,al.karkh,2307100,Al Amerya-638,idp_out_camp,146,al.karkhidp_out_camp
Dahuk,zakho,1104013,Darkar,idp_out_camp,304,zakhoidp_out_camp
Baghdad,al.karkh,2307110,Hay Al Adil-657,idp_out_camp,22,al.karkhidp_out_camp
Baghdad,al.risafa,2307124,Al Karkh-212,idp_out_camp,28,al.risafaidp_out_camp
Dahuk,zakho,1104019,Diraboon,idp_out_camp,593,zakhoidp_out_camp
Baghdad,al.mahmoudiya,2309001,14 Tamooz,idp_out_camp,83,al.mahmoudiyaidp_out_camp
Baghdad,al.mahmoudiya,2309005,Al Latefia-Al Qadessia,idp_out_camp,155,al.mahmoudiyaidp_out_camp
Baghdad,al.mahmoudiya,2309007,Hay Al-Askary,idp_out_camp,32,al.mahmoudiyaidp_out_camp
Baghdad,al.mahmoudiya,2309008,Kilo 18,idp_out_camp,170,al.mahmoudiyaidp_out_camp
Dahuk,zakho,1104053,Levo,idp_out_camp,29,zakhoidp_out_camp
Baghdad,al.mahmoudiya,2309019,Hay Al-Rubaiy-204,idp_out_camp,7,al.mahmoudiyaidp_out_camp
Baghdad,al.mahmoudiya,2309022,Dereia w Um Mahar,idp_out_camp,9,al.mahmoudiyaidp_out_camp
Dahuk,al.amadiya,1101019,Mizi Village,idp_out_camp,56,al.amadiyaidp_out_camp
Baghdad,al.mahmoudiya,2309030,Hay Al Zuhoor,idp_out_camp,75,al.mahmoudiyaidp_out_camp
Dahuk,zakho,1104055,Ashe Chami Sector,idp_out_camp,382,zakhoidp_out_camp
Baghdad,al.kadhmiyah,2310004,Al Khadraa village,idp_out_camp,33,al.kadhmiyahidp_out_camp
Baghdad,al.kadhmiyah,2310007,Al-Abayechi-1,idp_out_camp,33,al.kadhmiyahidp_out_camp
Dahuk,zakho,1104056,Bazar Sector,idp_out_camp,268,zakhoidp_out_camp
Baghdad,al.kadhmiyah,2310010,Hai Al Qadessia-1,idp_out_camp,79,al.kadhmiyahidp_out_camp
Baghdad,al.kadhmiyah,2310015,Hai Al Wehda,idp_out_camp,69,al.kadhmiyahidp_out_camp
Dahuk,zakho,1104057,Betase Sector,idp_out_camp,162,zakhoidp_out_camp
Diyala,al.kadhmiyah,2401005,Al Gserin Village,idp_out_camp,30,al.kadhmiyahidp_out_camp
Diyala,al.khalis,2401009,Markaz Al Khalis,idp_out_camp,50,al.khalisidp_out_camp
Diyala,al.khalis,2401010,Al Mohandseen Alzraeen Village,idp_out_camp,24,al.khalisidp_out_camp
Dahuk,zakho,1104058,Bedar Sector,idp_out_camp,1202,zakhoidp_out_camp
Diyala,al.khalis,2401023,Arab Hafedh Village,idp_out_camp,8,al.khalisidp_out_camp
