Governorate,district,psu,Location.Name,popgroup,pop,stratum
Salah al-Din,beygee,2803017,Al Hejaj Village-13,idp_out_camp,210,beygeeidp_out_camp
Salah al-Din,beygee,2803018,Al Mazraa Village,idp_out_camp,70,beygeeidp_out_camp
Salah al-Din,samarra,2804001,Al Hardaniyah,idp_out_camp,190,samarraidp_out_camp
Salah al-Din,balad,2804005,Albu Jewari,idp_out_camp,183,baladidp_out_camp
Salah al-Din,balad,2804007,Al-Duloeyah-Hay khazraj,idp_out_camp,209,baladidp_out_camp
Salah al-Din,balad,2804009,Beshakan village,idp_out_camp,187,baladidp_out_camp
Salah al-Din,balad,2804016,Al-Juboor Village,idp_out_camp,163,baladidp_out_camp
Salah al-Din,balad,2805001,14 Ramadhan,idp_out_camp,25,baladidp_out_camp
Salah al-Din,balad,2805005,Al Zuheari Village,idp_out_camp,105,baladidp_out_camp
Salah al-Din,balad,2805010,Hay Al Hussien,idp_out_camp,177,baladidp_out_camp
Salah al-Din,balad,2805016,Markaz Al-Dujeel-Al Shabab village,idp_out_camp,180,baladidp_out_camp
Salah al-Din,balad,2805018,Markaz Al-Dujeel-Hay Al Wihda Mahala 101,idp_out_camp,165,baladidp_out_camp
Salah al-Din,balad,2805019,Markaz Al-Dujeel-Hay Al Wihda Mahala 103,idp_out_camp,163,baladidp_out_camp
Salah al-Din,samarra,2806003,Al Jubairiyah Al Thalitha,idp_out_camp,340,samarraidp_out_camp
Salah al-Din,samarra,2806005,Al Qala-Mahal 201,idp_out_camp,171,samarraidp_out_camp
Salah al-Din,samarra,2806008,Al-Abasiya Village,idp_out_camp,191,samarraidp_out_camp
Salah al-Din,samarra,2806009,Al-Efraz area,idp_out_camp,144,samarraidp_out_camp
Salah al-Din,samarra,2806010,Al-Hewaish area,idp_out_camp,139,samarraidp_out_camp
Salah al-Din,samarra,2806012,Al-Shuhadaa-Mahalla 324,idp_out_camp,222,samarraidp_out_camp
Salah al-Din,samarra,2806014,Hay Al Baladiya-104,idp_out_camp,95,samarraidp_out_camp
Salah al-Din,samarra,2806015,Hay Al Dhubbat-Mahalla 334,idp_out_camp,122,samarraidp_out_camp
Salah al-Din,samarra,2806016,Hay Al Dubhat-Mahalla 336,idp_out_camp,74,samarraidp_out_camp
Salah al-Din,samarra,2806025,Hay Al Zuhoor(Al qala 4)Mahala 202,idp_out_camp,109,samarraidp_out_camp
Salah al-Din,samarra,2806027,Hay Al-Khathraa Mahala 322,idp_out_camp,234,samarraidp_out_camp
Salah al-Din,samarra,2806030,Hay Salah Al-Din(Mahala 302),idp_out_camp,263,samarraidp_out_camp
Salah al-Din,tikrit,2808002,Hay Al Askari,idp_out_camp,487,tikritidp_out_camp
Salah al-Din,tikrit,2808011,Awajealah Quarter,idp_out_camp,142,tikritidp_out_camp
Salah al-Din,tikrit,2808016,Hay Al sinay-Al samad,idp_out_camp,200,tikritidp_out_camp
Salah al-Din,tikrit,2808025,Samrah Village,idp_out_camp,55,tikritidp_out_camp
Salah al-Din,tikrit,2808028,Qadisya 2 500 Area,idp_out_camp,201,tikritidp_out_camp
Salah al-Din,tikrit,2808069,Hay Alziraa,idp_out_camp,40,tikritidp_out_camp
Salah al-Din,tikrit,2808071,Hay Alqalaa,idp_out_camp,330,tikritidp_out_camp
Salah al-Din,tikrit,2808073,Hay Alfirdous,idp_out_camp,284,tikritidp_out_camp
Salah al-Din,tikrit,2808076,Hay Al-Wihda,idp_out_camp,20,tikritidp_out_camp
Salah al-Din,beygee,2808077,Al-Muskarat,idp_out_camp,150,beygeeidp_out_camp
Salah al-Din,tikrit,2808080,Mahalla Al Aed,idp_out_camp,237,tikritidp_out_camp
Salah al-Din,tikrit,2808084,Al Auja village ,idp_out_camp,28,tikritidp_out_camp
Salah al-Din,tikrit,2808089,Al-Qadisya Complex,idp_out_camp,842,tikritidp_out_camp
Salah al-Din,tooz.khurmato,2809001,Hay Al Sideeq Mahalla 105,idp_out_camp,130,tooz.khurmatoidp_out_camp
Salah al-Din,tooz.khurmato,2809005,Hay Komari-120,idp_out_camp,885,tooz.khurmatoidp_out_camp
Salah al-Din,tooz.khurmato,2809007,Hay Rizgari-114,idp_out_camp,317,tooz.khurmatoidp_out_camp
Salah al-Din,daquq,2809008,Hay Shoraw-1,idp_out_camp,80,daquqidp_out_camp
Salah al-Din,tooz.khurmato,2809010,Markaz Tooz-Hay Al Askari,idp_out_camp,770,tooz.khurmatoidp_out_camp
Salah al-Din,tooz.khurmato,2809012,Markaz Tooz-Hay Al Taiyar 122,idp_out_camp,750,tooz.khurmatoidp_out_camp
Salah al-Din,tooz.khurmato,2809015,Markaz Tooz-Hay Brayati,idp_out_camp,390,tooz.khurmatoidp_out_camp
Salah al-Din,tooz.khurmato,2809018,Sankur,idp_out_camp,110,tooz.khurmatoidp_out_camp
Salah al-Din,tooz.khurmato,2809021,Tooz-Hay Al Teen,idp_out_camp,270,tooz.khurmatoidp_out_camp
Salah al-Din,tooz.khurmato,2809022,Unformal Shelter,idp_out_camp,330,tooz.khurmatoidp_out_camp
Salah al-Din,chamchamal,2809051,Milnaser Village,idp_out_camp,7,chamchamalidp_out_camp
Wassit,al.suwaira,2903005,Hay Al-Jihad,idp_out_camp,15,al.suwairaidp_out_camp
Wassit,al.suwaira,2903009,Hay Al-askary,idp_out_camp,25,al.suwairaidp_out_camp
Wassit,al.suwaira,2903014,Hay Al-Furat,idp_out_camp,28,al.suwairaidp_out_camp
Wassit,al.suwaira,2903022,Hay Al-Jameya,idp_out_camp,7,al.suwairaidp_out_camp
Wassit,al.suwaira,2904011,Al-Azezia 150 area,idp_out_camp,20,al.suwairaidp_out_camp
Wassit,al.suwaira,2904014,Al-Dawar Al-Sharqi,idp_out_camp,7,al.suwairaidp_out_camp
Wassit,al.suwaira,2904021,Al-Khamas 3,idp_out_camp,14,al.suwairaidp_out_camp
Wassit,al.suwaira,2904035,Al-Tanmeya,idp_out_camp,11,al.suwairaidp_out_camp
Wassit,al.suwaira,2904044,Al Shabab 1,idp_out_camp,14,al.suwairaidp_out_camp
Wassit,al.suwaira,2904046,Hay Al-Askari 3,idp_out_camp,8,al.suwairaidp_out_camp
Wassit,al.suwaira,2904059,Taj al-dien,idp_out_camp,30,al.suwairaidp_out_camp
Wassit,al.kut,2906004,Al Hasan Al Askari,idp_out_camp,55,al.kutidp_out_camp
Wassit,al.kut,2906023,Hay Al-Hawaraa 3,idp_out_camp,63,al.kutidp_out_camp
Wassit,al.kut,2906025,Al-Jihad Al-Zahraa,idp_out_camp,25,al.kutidp_out_camp
Wassit,al.kut,2906031,Al-Sebtain W Al-Maamel,idp_out_camp,9,al.kutidp_out_camp
Wassit,al.kut,2906041,Damook Al-Dhbat,idp_out_camp,40,al.kutidp_out_camp
Wassit,al.kut,2906051,Al-Jihad-Al Thaqalain,idp_out_camp,28,al.kutidp_out_camp
Wassit,al.kut,2906052,Hay Al Wehda,idp_out_camp,8,al.kutidp_out_camp
Wassit,al.kut,2906056,Hay Al-Karar,idp_out_camp,14,al.kutidp_out_camp
Wassit,al.kut,2906058,Hay Al-Shuhadaa,idp_out_camp,15,al.kutidp_out_camp
Wassit,al.kut,2906069,Um Hulail Village,idp_out_camp,23,al.kutidp_out_camp
Wassit,al.kut,2906071,Al-Umarat-Al-Mutamaizeen,idp_out_camp,59,al.kutidp_out_camp
Wassit,al.kut,2906072,Al Hakeem Al-Ula,idp_out_camp,14,al.kutidp_out_camp
Wassit,al.kut,2906073,Al Hakeem Al-Thania,idp_out_camp,12,al.kutidp_out_camp
Erbil,erbil,1202117,Shorsh(Hay arey),idp_out_camp,287,erbilidp_out_camp
Erbil,erbil,1202120,Shorsh(Malayan),idp_out_camp,209,erbilidp_out_camp
Erbil,erbil,1202121,Saidawa(Khabat),idp_out_camp,28,erbilidp_out_camp
Basrah,al.basrah,3105013,Al Ashar Center,idp_out_camp,49,al.basrahidp_out_camp
Basrah,al.basrah,3105025,Al Jumhuriya,idp_out_camp,9,al.basrahidp_out_camp
Basrah,al.basrah,3105026,Al Kaim 1,idp_out_camp,6,al.basrahidp_out_camp
Basrah,al.basrah,3105030,AL Mowafaqiah,idp_out_camp,17,al.basrahidp_out_camp
Basrah,al.basrah,3105044,Al-Baker & Al-Ahrar,idp_out_camp,11,al.basrahidp_out_camp
Basrah,al.basrah,3105047,Al-hakemia,idp_out_camp,11,al.basrahidp_out_camp
Basrah,al.basrah,3105049,Al-Jnaina,idp_out_camp,12,al.basrahidp_out_camp
Basrah,al.basrah,3105068,Braiha,idp_out_camp,10,al.basrahidp_out_camp
Basrah,al.basrah,3105094,Hay Al Risalah,idp_out_camp,21,al.basrahidp_out_camp
Basrah,al.basrah,3105100,Hay Al-Husain 3,idp_out_camp,7,al.basrahidp_out_camp
Basrah,al.basrah,3105112,Manawi pasha,idp_out_camp,13,al.basrahidp_out_camp
Basrah,al.basrah,3105123,Al Khaleej1,idp_out_camp,7,al.basrahidp_out_camp
Erbil,erbil,1202136,Du sara fatah,idp_out_camp,525,erbilidp_out_camp
Missan,al.kahla,3205002,Al Hay Al JameI,idp_out_camp,120,al.kahlaidp_out_camp
Missan,al.kahla,3205006,Al Salam,idp_out_camp,13,al.kahlaidp_out_camp
Missan,al.kahla,3205019,Hay Al Karar,idp_out_camp,10,al.kahlaidp_out_camp
Missan,al.kahla,3205026,Hay Al Rasool,idp_out_camp,9,al.kahlaidp_out_camp
Missan,al.kahla,3205031,Hay Al-Ameer,idp_out_camp,6,al.kahlaidp_out_camp
Erbil,erbil,1202146,Aweney Shar,idp_out_camp,70,erbilidp_out_camp
Missan,al.kahla,3206007,Hay Al-Ameer,idp_out_camp,10,al.kahlaidp_out_camp
Erbil,koysinjaq,1203002,Azady,idp_out_camp,91,koysinjaqidp_out_camp
Erbil,koysinjaq,1203003,Bayizagha,idp_out_camp,103,koysinjaqidp_out_camp
Erbil,koysinjaq,1203004,Bazar koya(Bafri qndeel),idp_out_camp,97,koysinjaqidp_out_camp
Erbil,koysinjaq,1203006,Hamamok,idp_out_camp,59,koysinjaqidp_out_camp
Najaf,al.kufa,3402016,Albu Hadary,idp_out_camp,8,al.kufaidp_out_camp
Najaf,al.kufa,3402019,Alwat Al Fahal,idp_out_camp,143,al.kufaidp_out_camp
Erbil,koysinjaq,1203009,Qalat,idp_out_camp,97,koysinjaqidp_out_camp
Najaf,al.kufa,3402035,Maytham Al Tamar,idp_out_camp,9,al.kufaidp_out_camp
Najaf,al.kufa,3402041,Al Kreishat Al Shimaliya,idp_out_camp,7,al.kufaidp_out_camp
Erbil,koysinjaq,1203010,Taqtaq,idp_out_camp,237,koysinjaqidp_out_camp
Najaf,al.kufa,3403035,AL-RADHAWIYA,idp_out_camp,180,al.kufaidp_out_camp
Najaf,al.najaf,3403039,Hay Al Ameer,idp_out_camp,65,al.najafidp_out_camp
Erbil,koysinjaq,1203015,Nawdaran,idp_out_camp,10,koysinjaqidp_out_camp
Najaf,al.najaf,3403055,Hay Al zahraa-Al Haidariyah,idp_out_camp,10,al.najafidp_out_camp
Najaf,al.najaf,3403075,Shawafi Village,idp_out_camp,72,al.najafidp_out_camp
Najaf,al.najaf,3403079,Mafraq Al-Kefal,idp_out_camp,42,al.najafidp_out_camp
Najaf,al.najaf,3403080,Al-Mazarea AL-Westa,idp_out_camp,90,al.najafidp_out_camp
Najaf,al.najaf,3403081,Al-Qasim,idp_out_camp,65,al.najafidp_out_camp
Najaf,al.najaf,3403082,Markaz Alhaidariya,idp_out_camp,80,al.najafidp_out_camp
Najaf,al.najaf,3403084,Mazara Al-Hawli,idp_out_camp,160,al.najafidp_out_camp
Najaf,al.najaf,3403085,Fadak Village,idp_out_camp,48,al.najafidp_out_camp
Najaf,al.kufa,3403086,Al-Mazara 2,idp_out_camp,146,al.kufaidp_out_camp
Najaf,al.najaf,3403088,Al-Shaheed Al-Sadar-Shareet,idp_out_camp,42,al.najafidp_out_camp
Najaf,al.najaf,3403089,Al-Ghadeer Village complex,idp_out_camp,100,al.najafidp_out_camp
Erbil,shaqlawa,1206003,Bazar Khanzad,idp_out_camp,62,shaqlawaidp_out_camp
Erbil,shaqlawa,1206004,Betrma,idp_out_camp,100,shaqlawaidp_out_camp
Thi-Qar,al.nasiriya,3504014,Al Sharqiya,idp_out_camp,7,al.nasiriyaidp_out_camp
Erbil,shaqlawa,1206006,Harir,idp_out_camp,95,shaqlawaidp_out_camp
Thi-Qar,al.nasiriya,3504021,Al-Salhiya,idp_out_camp,10,al.nasiriyaidp_out_camp
Thi-Qar,al.nasiriya,3504024,Al-zielat,idp_out_camp,15,al.nasiriyaidp_out_camp
Thi-Qar,al.nasiriya,3504025,Aredo,idp_out_camp,15,al.nasiriyaidp_out_camp
Thi-Qar,al.nasiriya,3504028,Hay Al Ameer,idp_out_camp,14,al.nasiriyaidp_out_camp
Thi-Qar,al.nasiriya,3504029,Hay Al Fidaa,idp_out_camp,8,al.nasiriyaidp_out_camp
Erbil,shaqlawa,1206007,Harir-Batas,idp_out_camp,35,shaqlawaidp_out_camp
Thi-Qar,al.nasiriya,3504031,Hay Al Mualimeen,idp_out_camp,8,al.nasiriyaidp_out_camp
Thi-Qar,al.nasiriya,3504033,Hay Al Tadhihiya,idp_out_camp,17,al.nasiriyaidp_out_camp
Erbil,shaqlawa,1206008,Hiran,idp_out_camp,93,shaqlawaidp_out_camp
Thi-Qar,al.nasiriya,3504041,Nassriya-Hey 400,idp_out_camp,7,al.nasiriyaidp_out_camp
Erbil,shaqlawa,1206010,Sabirawa,idp_out_camp,70,shaqlawaidp_out_camp
Thi-Qar,al.nasiriya,3504051,Um Al Dood,idp_out_camp,6,al.nasiriyaidp_out_camp
Thi-Qar,al.nasiriya,3504054,Hay AL-Mansouria,idp_out_camp,15,al.nasiriyaidp_out_camp
Erbil,shaqlawa,1206011,Safeen,idp_out_camp,70,shaqlawaidp_out_camp
Erbil,shaqlawa,1206012,Sarmidan-1(Ashti),idp_out_camp,80,shaqlawaidp_out_camp
Erbil,shaqlawa,1206014,Sarmidan-3(Ashti),idp_out_camp,50,shaqlawaidp_out_camp
Erbil,shaqlawa,1206015,Shahedan,idp_out_camp,140,shaqlawaidp_out_camp
Qadissiya,al.diwaniya,3603003,Al Mojamaa Al Sakani,idp_out_camp,97,al.diwaniyaidp_out_camp
Qadissiya,al.diwaniya,3603004,Hay Al Ghadir,idp_out_camp,11,al.diwaniyaidp_out_camp
Qadissiya,al.diwaniya,3603009,Um tibashi village,idp_out_camp,14,al.diwaniyaidp_out_camp
Qadissiya,al.diwaniya,3603010,Albo Hasan village,idp_out_camp,14,al.diwaniyaidp_out_camp
Qadissiya,al.diwaniya,3603011,Hay Al Wihda 2,idp_out_camp,9,al.diwaniyaidp_out_camp
Qadissiya,al.diwaniya,3603017,Albu Khnefis village,idp_out_camp,10,al.diwaniyaidp_out_camp
Erbil,shaqlawa,1206017,Spigra,idp_out_camp,44,shaqlawaidp_out_camp
Qadissiya,al.diwaniya,3603033,Al-Jabaar village,idp_out_camp,16,al.diwaniyaidp_out_camp
Qadissiya,al.diwaniya,3603047,Hay Al Furat-1,idp_out_camp,12,al.diwaniyaidp_out_camp
Qadissiya,al.diwaniya,3603059,Hay Al Waely,idp_out_camp,10,al.diwaniyaidp_out_camp
Qadissiya,al.diwaniya,3603063,Hay Al-Amin 1,idp_out_camp,15,al.diwaniyaidp_out_camp
Qadissiya,al.diwaniya,3603064,Hay Al-Amin 2,idp_out_camp,20,al.diwaniyaidp_out_camp
Qadissiya,al.diwaniya,3603073,Hay Al-Hadarah,idp_out_camp,15,al.diwaniyaidp_out_camp
Erbil,rawanduz,1207002,Khalifan(center),idp_out_camp,30,rawanduzidp_out_camp
Erbil,rawanduz,1207003,Rawanduz District,idp_out_camp,40,rawanduzidp_out_camp
Erbil,rawanduz,1207004,Soran District,idp_out_camp,310,rawanduzidp_out_camp
Erbil,rawanduz,1207006,Diana(Shahedan azady),idp_out_camp,16,rawanduzidp_out_camp
Erbil,rawanduz,1207008,Hay mameel al qeer,idp_out_camp,13,rawanduzidp_out_camp
Sulaymaniyah,chamchamal,1301004,Azady,idp_out_camp,205,chamchamalidp_out_camp
Sulaymaniyah,chamchamal,1301006,Chamchamal-Raparin,idp_out_camp,198,chamchamalidp_out_camp
Sulaymaniyah,chamchamal,1301010,Handreen,idp_out_camp,66,chamchamalidp_out_camp
Sulaymaniyah,chamchamal,1301016,Piryadi,idp_out_camp,82,chamchamalidp_out_camp
Sulaymaniyah,chamchamal,1301017,Pura Gulla,idp_out_camp,50,chamchamalidp_out_camp
Sulaymaniyah,chamchamal,1301021,SANGAWIAKAN,idp_out_camp,30,chamchamalidp_out_camp
Sulaymaniyah,chamchamal,1301027,Sangawi kon,idp_out_camp,11,chamchamalidp_out_camp
Sulaymaniyah,chamchamal,1301031,Hazar kani,idp_out_camp,37,chamchamalidp_out_camp
Sulaymaniyah,chamchamal,1301045,Bani maqan,idp_out_camp,94,chamchamalidp_out_camp
Sulaymaniyah,chamchamal,1301046,Dawajin,idp_out_camp,67,chamchamalidp_out_camp
Sulaymaniyah,chamchamal,1301050,hashazini,idp_out_camp,6,chamchamalidp_out_camp
Dahuk,duhok,1102002,Al Sinaah,idp_out_camp,210,duhokidp_out_camp
Sulaymaniyah,derbendikhan,1302001,Campe khwarw,idp_out_camp,34,derbendikhanidp_out_camp
Sulaymaniyah,derbendikhan,1302002,Hawara barza,idp_out_camp,100,derbendikhanidp_out_camp
Sulaymaniyah,derbendikhan,1302003,Kanisard,idp_out_camp,80,derbendikhanidp_out_camp
Sulaymaniyah,derbendikhan,1302004,Kanito,idp_out_camp,119,derbendikhanidp_out_camp
Sulaymaniyah,derbendikhan,1302005,Sara,idp_out_camp,85,derbendikhanidp_out_camp
Sulaymaniyah,derbendikhan,1302009,Sharwani,idp_out_camp,85,derbendikhanidp_out_camp
Sulaymaniyah,derbendikhan,1302010,Khelan,idp_out_camp,120,derbendikhanidp_out_camp
Sulaymaniyah,dokan,1303003,Chawa spy,idp_out_camp,26,dokanidp_out_camp
Sulaymaniyah,dokan,1303009,Kotal,idp_out_camp,17,dokanidp_out_camp
Sulaymaniyah,dokan,1303011,Pishowa,idp_out_camp,93,dokanidp_out_camp
Sulaymaniyah,dokan,1303012,Qamchugha,idp_out_camp,103,dokanidp_out_camp
Sulaymaniyah,dokan,1303013,Sara,idp_out_camp,95,dokanidp_out_camp
Sulaymaniyah,dokan,1303016,Sharawany,idp_out_camp,68,dokanidp_out_camp
Dahuk,al.amadiya,1101005,Chamanke,idp_out_camp,82,al.amadiyaidp_out_camp
Sulaymaniyah,dokan,1303025,Mergapan,idp_out_camp,34,dokanidp_out_camp
Dahuk,duhok,1102007,Bahdinan,idp_out_camp,63,duhokidp_out_camp
Sulaymaniyah,dokan,1303034,Shekh Mansourian,idp_out_camp,8,dokanidp_out_camp
Sulaymaniyah,dokan,1303036,Asos,idp_out_camp,60,dokanidp_out_camp
Sulaymaniyah,derbendikhan,1304004,Bakhtyari,idp_out_camp,30,derbendikhanidp_out_camp
Sulaymaniyah,halabcha,1304006,Barkew,idp_out_camp,53,halabchaidp_out_camp
Sulaymaniyah,halabcha,1304007,Farmanbaran,idp_out_camp,17,halabchaidp_out_camp
Dahuk,duhok,1102009,Baroshke,idp_out_camp,318,duhokidp_out_camp
Sulaymaniyah,halabcha,1304009,Goran City,idp_out_camp,7,halabchaidp_out_camp
Sulaymaniyah,halabcha,1304012,Gulan,idp_out_camp,26,halabchaidp_out_camp
Sulaymaniyah,derbendikhan,1304015,Azadi,idp_out_camp,23,derbendikhanidp_out_camp
Sulaymaniyah,halabcha,1304018,Hassar,idp_out_camp,41,halabchaidp_out_camp
Sulaymaniyah,halabcha,1304026,Darwazay Shar,idp_out_camp,22,halabchaidp_out_camp
Sulaymaniyah,halabcha,1304027,Marzboto,idp_out_camp,11,halabchaidp_out_camp
Sulaymaniyah,halabcha,1304028,Mordana,idp_out_camp,13,halabchaidp_out_camp
Dahuk,duhok,1102011,Bazaar,idp_out_camp,55,duhokidp_out_camp
Sulaymaniyah,derbendikhan,1304038,Rezgari,idp_out_camp,45,derbendikhanidp_out_camp
Sulaymaniyah,halabcha,1304039,Shikhan,idp_out_camp,47,halabchaidp_out_camp
Sulaymaniyah,halabcha,1304046,Raparine,idp_out_camp,36,halabchaidp_out_camp
Sulaymaniyah,halabcha,1304049,Tapa kura,idp_out_camp,12,halabchaidp_out_camp
Sulaymaniyah,halabcha,1304051,Shahidan-Saidsadiq,idp_out_camp,11,halabchaidp_out_camp
Sulaymaniyah,kifri,1305002,Ban Asiaw,idp_out_camp,47,kifriidp_out_camp
Sulaymaniyah,kalar,1305007,Grda Gozina,idp_out_camp,117,kalaridp_out_camp
Sulaymaniyah,kalar,1305008,Hamren,idp_out_camp,95,kalaridp_out_camp
Sulaymaniyah,kalar,1305009,Kalar Kon,idp_out_camp,202,kalaridp_out_camp
Sulaymaniyah,kalar,1305010,Kalari New,idp_out_camp,58,kalaridp_out_camp
Sulaymaniyah,khanaqin,1305014,Kulajo,idp_out_camp,343,khanaqinidp_out_camp
Sulaymaniyah,kalar,1305015,Pebaz,idp_out_camp,42,kalaridp_out_camp
Sulaymaniyah,kifri,1305019,Shaykh Lankar,idp_out_camp,207,kifriidp_out_camp
Sulaymaniyah,kalar,1305021,Sirwan,idp_out_camp,51,kalaridp_out_camp
Sulaymaniyah,kifri,1305024,Ali Khalaf,idp_out_camp,14,kifriidp_out_camp
Sulaymaniyah,kalar,1305031,Nawrooz,idp_out_camp,92,kalaridp_out_camp
Sulaymaniyah,kalar,1305033,Garmyan,idp_out_camp,179,kalaridp_out_camp
Dahuk,duhok,1102016,Dabin 2,idp_out_camp,382,duhokidp_out_camp
Sulaymaniyah,kifri,1305036,Shakal,idp_out_camp,229,kifriidp_out_camp
Sulaymaniyah,kalar,1305038,Asuda,idp_out_camp,139,kalaridp_out_camp
Sulaymaniyah,kalar,1305040,Awbarik,idp_out_camp,245,kalaridp_out_camp
Sulaymaniyah,kalar,1305041,Awarakan,idp_out_camp,21,kalaridp_out_camp
Dahuk,duhok,1102017,Diyari,idp_out_camp,29,duhokidp_out_camp
Sulaymaniyah,rania,1308003,Koling city,idp_out_camp,81,raniaidp_out_camp
Sulaymaniyah,rania,1308004,Qandil,idp_out_camp,23,raniaidp_out_camp
Sulaymaniyah,rania,1308005,Raparine,idp_out_camp,14,raniaidp_out_camp
Sulaymaniyah,rania,1308009,Kewa Rash,idp_out_camp,12,raniaidp_out_camp
Sulaymaniyah,rania,1308011,Nawroz,idp_out_camp,45,raniaidp_out_camp
Sulaymaniyah,rania,1308018,Shishar,idp_out_camp,32,raniaidp_out_camp
Sulaymaniyah,rania,1308022,kurdistan,idp_out_camp,19,raniaidp_out_camp
Dahuk,duhok,1102022,Etit,idp_out_camp,275,duhokidp_out_camp
Sulaymaniyah,rania,1308030,Azadi 1,idp_out_camp,11,raniaidp_out_camp
Sulaymaniyah,rania,1308033,Srra,idp_out_camp,12,raniaidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310010,Ashty 106 & 104,idp_out_camp,80,al.sulaymaniyahidp_out_camp
Dahuk,duhok,1102025,Kora,idp_out_camp,66,duhokidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310018,Bakrajo-Qularaese Taza,idp_out_camp,157,al.sulaymaniyahidp_out_camp
Dahuk,sumail,1102027,Kevila,idp_out_camp,104,sumailidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310030,Chwar Bakh 401,idp_out_camp,56,al.sulaymaniyahidp_out_camp
Dahuk,al.amadiya,1101007,Deraluk,idp_out_camp,22,al.amadiyaidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310042,Gulli Shar,idp_out_camp,100,al.sulaymaniyahidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310062,Kostay Cham,idp_out_camp,102,al.sulaymaniyahidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310087,Rizgare 408,idp_out_camp,49,al.sulaymaniyahidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310093,Saib City,idp_out_camp,224,al.sulaymaniyahidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310141,Grdi Joga,idp_out_camp,16,al.sulaymaniyahidp_out_camp
Dahuk,duhok,1102039,Nazarke,idp_out_camp,275,duhokidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310144,Srosht 333,idp_out_camp,24,al.sulaymaniyahidp_out_camp
Dahuk,al.amadiya,1101008,Inishke,idp_out_camp,27,al.amadiyaidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310206,Khalif awa village,idp_out_camp,77,al.sulaymaniyahidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310211,Zirak,idp_out_camp,30,al.sulaymaniyahidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310217,Raparine-Zanko,idp_out_camp,50,al.sulaymaniyahidp_out_camp
Dahuk,duhok,1102046,Shakhke,idp_out_camp,190,duhokidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310227,Shahidan 103,idp_out_camp,189,al.sulaymaniyahidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310229,Malik mahmood 401,idp_out_camp,204,al.sulaymaniyahidp_out_camp
Sulaymaniyah,al.sulaymaniyah,1310230,Sharawane 102,idp_out_camp,122,al.sulaymaniyahidp_out_camp
Anbar,al.kaim,2101002,Al Aubaidi Al Qadima,idp_out_camp,17,al.kaimidp_out_camp
Anbar,al.kaim,2101029,Sadah,idp_out_camp,36,al.kaimidp_out_camp
Anbar,al.kaim,2101032,Al Masharea,idp_out_camp,121,al.kaimidp_out_camp
Anbar,al.kaim,2101033,Tiwaan,idp_out_camp,45,al.kaimidp_out_camp
Dahuk,duhok,1102050,Avrike,idp_out_camp,204,duhokidp_out_camp
Dahuk,duhok,1102051,Zeri Land,idp_out_camp,497,duhokidp_out_camp
Anbar,al.falluja,2105019,Al-Amirya-Albu Jwad,idp_out_camp,209,al.fallujaidp_out_camp
Anbar,al.falluja,2105031,Albu Hori,idp_out_camp,84,al.fallujaidp_out_camp
Anbar,al.falluja,2105069,Al-Amirya-Al Betra,idp_out_camp,100,al.fallujaidp_out_camp
Anbar,al.falluja,2105071,Al-Amirya-Al Mouilha,idp_out_camp,265,al.fallujaidp_out_camp
Anbar,al.falluja,2105073,Al-Amirya-Albu Jaber,idp_out_camp,99,al.fallujaidp_out_camp
Anbar,al.falluja,2105074,Al-Amirya-Albu Mrir,idp_out_camp,102,al.fallujaidp_out_camp
Anbar,al.falluja,2105075,Al-Amirya-Albu Saleh,idp_out_camp,246,al.fallujaidp_out_camp
Anbar,al.falluja,2105076,Al-Amirya-Albu Salman,idp_out_camp,196,al.fallujaidp_out_camp
Anbar,al.falluja,2105078,Albu Dhaher-Albu Dhaher,idp_out_camp,79,al.fallujaidp_out_camp
Anbar,al.falluja,2105088,Al-Ekhaa Compaund,idp_out_camp,31,al.fallujaidp_out_camp
Anbar,haditha,2106001,Al Furat Complex,idp_out_camp,15,hadithaidp_out_camp
Anbar,haditha,2106013,Haqlaniyah-Hay Al-Faroq,idp_out_camp,24,hadithaidp_out_camp
Anbar,haditha,2106017,Hay Al Haqlaniyah Qadim,idp_out_camp,28,hadithaidp_out_camp
Anbar,haditha,2106023,Hay Al Saray,idp_out_camp,40,hadithaidp_out_camp
Anbar,haditha,2106028,Hay Al Yarmuk,idp_out_camp,95,hadithaidp_out_camp
Anbar,haditha,2106034,Hay Al-Mulameen,idp_out_camp,26,hadithaidp_out_camp
Anbar,haditha,2106038,Hay Al-Subhani,idp_out_camp,28,hadithaidp_out_camp
Anbar,heet,2107013,Al Muhamdee,idp_out_camp,34,heetidp_out_camp
