psu,n,new_ID,governorate,district,name,label
1202043,1,cluster_location_id_0072,erbil,erbil,Kurd Stan,0072 (Kurd Stan)
1202051,1,cluster_location_id_0073,erbil,erbil,Nisthtiman Comercial Complex,0073 (Nisthtiman Comercial Complex)
1202057,1,cluster_location_id_0074,erbil,erbil,Qushtapa centre,0074 (Qushtapa centre)
1202060,1,cluster_location_id_0075,erbil,erbil,Rizgari,0075 (Rizgari)
1202117,1,cluster_location_id_0076,erbil,erbil,Shorsh(Hay arey),0076 (Shorsh(Hay arey))
1202120,1,cluster_location_id_0077,erbil,erbil,Shorsh(Malayan),0077 (Shorsh(Malayan))
1202121,1,cluster_location_id_0078,erbil,erbil,Saidawa(Khabat),0078 (Saidawa(Khabat))
1202136,1,cluster_location_id_0079,erbil,erbil,Du sara fatah,0079 (Du sara fatah)
1202146,1,cluster_location_id_0080,erbil,erbil,Aweney Shar,0080 (Aweney Shar)
1203002,1,cluster_location_id_0081,erbil,koysinjaq,Azady,0081 (Azady)
1203003,1,cluster_location_id_0082,erbil,koysinjaq,Bayizagha,0082 (Bayizagha)
1203004,1,cluster_location_id_0083,erbil,koysinjaq,Bazar koya(Bafri qndeel),0083 (Bazar koya(Bafri qndeel))
1203006,1,cluster_location_id_0084,erbil,koysinjaq,Hamamok,0084 (Hamamok)
1203009,1,cluster_location_id_0085,erbil,koysinjaq,Qalat,0085 (Qalat)
1203010,1,cluster_location_id_0086,erbil,koysinjaq,Taqtaq,0086 (Taqtaq)
1203014,1,cluster_location_id_0087,erbil,koysinjaq,Ashti,0087 (Ashti)
1203015,1,cluster_location_id_0088,erbil,koysinjaq,Nawdaran,0088 (Nawdaran)
1204004,1,cluster_location_id_0089,erbil,makhmour,Gwer,0089 (Gwer)
1204011,1,cluster_location_id_0090,erbil,makhmour,Shahidan,0090 (Shahidan)
1204016,1,cluster_location_id_0091,erbil,makhmour,Kurdistan ,0091 (Kurdistan )
1204017,1,cluster_location_id_0092,erbil,makhmour,Sherwany,0092 (Sherwany)
1204018,1,cluster_location_id_0093,erbil,makhmour,Saray(markez bazar),0093 (Saray(markez bazar))
1204019,1,cluster_location_id_0094,erbil,makhmour,Bndiyan,0094 (Bndiyan)
1204031,1,cluster_location_id_0095,erbil,makhmour,Abu Sheta,0095 (Abu Sheta)
1204032,1,cluster_location_id_0096,erbil,makhmour,Kapran,0096 (Kapran)
1204039,1,cluster_location_id_0097,erbil,makhmour,Salahya,0097 (Salahya)
1204044,1,cluster_location_id_0098,erbil,makhmour,Jarallah,0098 (Jarallah)
1205001,1,cluster_location_id_0099,erbil,rawanduz,Markaz Mergasur,0099 (Markaz Mergasur)
1206003,1,cluster_location_id_0100,erbil,shaqlawa,Bazar Khanzad,0100 (Bazar Khanzad)
1206004,1,cluster_location_id_0101,erbil,shaqlawa,Betrma,0101 (Betrma)
1206006,1,cluster_location_id_0102,erbil,shaqlawa,Harir,0102 (Harir)
1206007,1,cluster_location_id_0103,erbil,shaqlawa,Harir-Batas,0103 (Harir-Batas)
1206008,1,cluster_location_id_0104,erbil,shaqlawa,Hiran,0104 (Hiran)
1206010,1,cluster_location_id_0105,erbil,shaqlawa,Sabirawa,0105 (Sabirawa)
1206011,1,cluster_location_id_0106,erbil,shaqlawa,Safeen,0106 (Safeen)
1206012,1,cluster_location_id_0107,erbil,shaqlawa,Sarmidan-1(Ashti),0107 (Sarmidan-1(Ashti))
