"","id_sampl","Survey","strata","psu","DTM.Round","Place.ID","Governorate","District","Location.Name","Arabic.Name","Latitude","Longitude","Families","critical_shelter","COD_Subdistrict","COD_Governorate","pop","IDP_perc","SumDist","proba","survey_buffer"
"92","id_2037",12,"Al-Mosul","2706031",109,23875,"Ninewa","Mosul","Al-Quds","القدس",36.3489956208,43.2261742767,610,TRUE,"Al-Muhamadath","Ninewa",497.081517140071,122.716290782566,30722.7926868002,0.0161795681208902,13
"93","id_2043",6,"Al-Mosul","2706043",109,18314,"Ninewa","Mosul","Hay Al Intisar","الانتصار",36.321603521,43.218416662,743,TRUE,"Al-Muhamadath","Ninewa",804.327777753274,92.375275422592,30722.7926868002,0.0261801648682428,7
"94","id_2045",12,"Al-Mosul","2706046",109,23934,"Ninewa","Mosul","Hay Al Nahrawan","حي النهروان",36.331523,43.066661,114,TRUE,"Al-Muhamadath","Ninewa",4852.96643122037,2.34907868446418,30722.7926868002,0.157959807908524,13
"95","id_2050",6,"Al-Mosul","2706053",109,24635,"Ninewa","Mosul","Hay Nablus","حي نابلس",36.3262496377,43.0826754329,65,TRUE,"Al-Muhamadath","Ninewa",2778.32307608922,2.33954073086037,30722.7926868002,0.0904319833295269,7
"96","id_2063",6,"Al-Mosul","2706094",109,20998,"Ninewa","Mosul","Hay Alalam","حي الاعلام",36.3611094409,43.194877463,386,TRUE,"Al-Muhamadath","Ninewa",251.293381134669,153.605319112301,30722.7926868002,0.00817937951463102,7
"97","id_2065",24,"Tilkaef","2706097",109,20796,"Ninewa","Mosul","Bysan","بيسان",36.4085196439,43.1046098354,51,TRUE,"Markaz Tilkaef","Ninewa",1790.80819694201,2.84787617608004,4756.96347349758,0.376460363195791,25
"98","id_2098",12,"Al-Mosul","2706190",109,31916,"Ninewa","Mosul","Yarmjah","يارمجة",36.3052153852,43.1831571524,200,TRUE,"Al-Muhamadath","Ninewa",1499.23873058955,13.3401036085396,30722.7926868002,0.0487989078946487,13
"99","id_212",61,"Erbil","1202051",109,24507,"Erbil","Erbil","Nisthtiman Comercial Complex","مجمع نشتيمان التجاري",36.18636499,44.01128354,34,TRUE,"Markaz Erbil","Erbil",592.893886884054,5.73458434167479,592.893886884054,1,63
"100","id_2127",6,"Al-Mosul","2706279",109,21335,"Ninewa","Mosul","Al-Sihha","حي الصحة",36.3482788036,43.102107024,65,TRUE,"Al-Muhamadath","Ninewa",2417.66546122233,2.6885440125011,30722.7926868002,0.0786928937700727,7
"101","id_2221",26,"Tilkaef","2709003",109,24600,"Ninewa","Tilkaif","Al Qawsiyat","القوسيات",36.4444211569,43.0985626633,740,TRUE,"Markaz Tilkaef","Ninewa",1362.36484839519,54.3173145484259,4756.96347349758,0.286393800579995,27
"102","id_2228",2,"Tilkaef","2709011",109,17570,"Ninewa","Tilkaif","Bozan","قرية بوزان",36.7332446181,43.1278619368,320,TRUE,"Al-Qosh","Ninewa",234.1159509706,136.684407309003,4756.96347349758,0.0492154190955907,3
"103","id_2234",4,"Tilkaef","2709021",109,24703,"Ninewa","Tilkaif","Jambour Village","قرية جمبور",36.7167878921,42.9541063197,70,TRUE,"Al-Qosh","Ninewa",315.912305394808,22.1580479153916,4756.96347349758,0.0664104963502132,5
"104","id_2248",11,"Tilkaef","2709040",109,17133,"Ninewa","Tilkaif","wanna center","مركز وانة",36.535585072,42.7604203729,60,TRUE,"Wana","Ninewa",1053.76217179497,5.6938844082623,4756.96347349758,0.221519920778409,12
"105","id_2264",24,"Al-Shirqat","2802015",109,21004,"Salah al-Din","Al-Shirqat","Hay Al Askari","الحي العسكري",35.5158826802,43.2348022051,33,TRUE,"Markaz Al-Shirqat","Salah Al-Din",615.434809883436,5.36206263767405,1942.32879819473,0.316854082818235,25
"106","id_2265",28,"Al-Shirqat","2802016",109,24210,"Salah al-Din","Al-Shirqat","Hay Al Qasbah","حي القصبة",35.5229680287,43.2343767397,37,TRUE,"Markaz Al-Shirqat","Salah Al-Din",747.842649499575,4.94756484198365,1942.32879819473,0.385023714931606,29
"107","id_2269",14,"Al-Shirqat","2802028",109,21006,"Salah al-Din","Al-Shirqat","Tal Al Jumiala area","تل بعاجة 1 وتل اجميلة ",35.5109178275,43.2351786364,31,TRUE,"Markaz Al-Shirqat","Salah Al-Din",579.051338811715,5.35358402997838,1942.32879819473,0.298122202250158,15
"108","id_2287",6,"Balad","2804005",109,20767,"Salah al-Din","Balad","Albu Jewari","محلة البو جواري",34.0600252537,44.2158707078,183,TRUE,"Al-Duloeyah","Salah Al-Din",308.558394094308,59.3080608087647,1962.73598317305,0.157208303480266,7
"109","id_2294",31,"Balad","2804017",109,20774,"Salah al-Din","Balad","AL-Eshaqi center","مركز ناحية الاسحاقي",34.047534,43.986862,45,TRUE,"Al-Esshaqi","Salah Al-Din",734.874060094357,6.12349822148057,1962.73598317305,0.374413098039974,32
"110","id_2296",29,"Balad","2804022",109,33347,"Salah al-Din","Balad","Balad station","محطة بلد",33.9535607009,44.1541482824,65,TRUE,"Yathreb","Salah Al-Din",919.303528984388,7.07057005120056,1962.73598317305,0.46837859847976,30
"111","id_2310",23,"Samarra","2806005",109,21723,"Salah al-Din","Samarra","Al Qala-Mahal 201","مقاطعة 4 القلعة محلة 201",34.1820562631,43.855649773,171,TRUE,"Markaz Samarra","Salah Al-Din",1343.68150126934,12.7262301251049,5918.39102857312,0.227034931416705,24
"112","id_2312",10,"Samarra","2806008",109,20695,"Salah al-Din","Samarra","Al-Abasiya Village","قرية العباسية",34.3009239295,43.7838114146,191,TRUE,"Dijla","Salah Al-Din",1255.0413514475,15.2186220621105,5918.39102857312,0.212057862582643,11
"113","id_2314",20,"Samarra","2806010",109,20674,"Salah al-Din","Samarra","Al-Hewaish area","قرية الحويش",34.1951516457,43.8215124607,139,TRUE,"Al-Tharthar","Salah Al-Din",1696.32611878713,8.19417908269813,5918.39102857312,0.286619473197617,21
"114","id_2328",14,"Samarra","2806025",109,21594,"Salah al-Din","Samarra","Hay Al Zuhoor(Al qala 4)Mahala 202","حي الزهور(4-القلعة)محلة 202",34.179837741,43.856304232,109,TRUE,"Markaz Samarra","Salah Al-Din",1623.34205706914,6.71454297172548,5918.39102857312,0.274287732803035,15
"115","id_2338",6,"Tikrit","2808004",109,25569,"Salah al-Din","Tikrit","Al Haweja village-AlAbady","قرية الحويجة-العبادي",34.704490884,43.6843967048,32,TRUE,"Al-Alam","Salah Al-Din",304.191820243994,10.5196780026276,7985.34586546322,0.0380937564094287,7
"116","id_2348",6,"Tikrit","2808025",109,20612,"Salah al-Din","Tikrit","Samrah Village","قرية سمرة",34.7556756507,43.6710715803,55,TRUE,"Al-Alam","Salah Al-Din",234.341250941157,23.4700462590815,7985.34586546322,0.0293464121516249,7
"117","id_2349",6,"Tikrit","2808028",109,23702,"Salah al-Din","Tikrit","Qadisya 2 500 Area","حي المطاردة(قادسية2)مقاطعة 7 محله 218 – قطعه 500",34.6508521597,43.6525807344,201,TRUE,"Um Al-Qura","Salah Al-Din",606.52323328952,33.1397033069719,7985.34586546322,0.0759545351583011,7
"118","id_2350",18,"Tikrit","2808031",109,23918,"Salah al-Din","Tikrit","Al-Mutaradah 204","حي الشهداء مقاطعة 7-المطاردة محلة 204",34.6225053677,43.6736595444,128,TRUE,"Um Al-Qura","Salah Al-Din",655.775665501753,19.5188700547562,7985.34586546322,0.0821223872516276,19
"119","id_2353",6,"Tikrit","2808037",109,22966,"Salah al-Din","Tikrit","Hay Sheshen Mahal 408","حي شيشين-مقاطعة 5-وادي شيشين محلة 408",34.5929545071,43.6796363443,110,TRUE,"Um Al-Qura","Salah Al-Din",271.29633585612,40.5460691729865,7985.34586546322,0.0339742749314694,7
"120","id_2367",6,"Tikrit","2808058",109,25962,"Salah al-Din","Tikrit","Hay Salma Altaghlubia","حي سلمى التغلبيه-محله 401",34.6097445069,43.6807898618,32,TRUE,"Um Al-Qura","Salah Al-Din",346.848447442055,9.22593145103986,7985.34586546322,0.0434356198573917,7
"121","id_2368",6,"Tikrit","2808061",109,25922,"Salah al-Din","Tikrit","Qadisya 1 Mahala 214","حي المطاردة(قادسية1)مقاطعة 7-محله 214",34.6457808852,43.6703245895,149,TRUE,"Um Al-Qura","Salah Al-Din",407.981912175814,36.5212269351271,7985.34586546322,0.0510913264183514,7
"122","id_2377",6,"Tikrit","2808072",109,27368,"Salah al-Din","Tikrit","Hay Alkahrbaa","حي الكهرباء",34.6040726826,43.6662511993,40,TRUE,"Um Al-Qura","Salah Al-Din",312.304746538401,12.8080025818889,7985.34586546322,0.0391097332288542,7
"123","id_2385",12,"Tikrit","2808081",109,20638,"Salah al-Din","Tikrit","Hay Al Dhubbat","حي الضباط",34.6346683931,43.670680984,55,TRUE,"Um Al-Qura","Salah Al-Din",693.058433562517,7.93583878884272,7985.34586546322,0.0867912855922758,13
"124","id_2388",18,"Tikrit","2808085",109,29589,"Salah al-Din","Tikrit","Al-Dibsa Village","قرية الدبسة",34.6467615059,43.7031670287,40,TRUE,"Al-Alam","Salah Al-Din",567.213995357355,7.05201217307752,7985.34586546322,0.0710318632296901,19
