Location.ID,District,popgroup,Stratum,population
1101001,Al-Amadiya,idp,Al-Amadiya,14
1101002,Al-Amadiya,idp,Al-Amadiya,7
1101004,Al-Amadiya,idp,Al-Amadiya,15
1101005,Al-Amadiya,idp,Al-Amadiya,82
1101007,Al-Amadiya,idp,Al-Amadiya,22
1101008,Al-Amadiya,idp,Al-Amadiya,27
1101009,Al-Amadiya,idp,Al-Amadiya,12
1101010,Al-Amadiya,idp,Al-Amadiya,24
1101011,Al-Amadiya,idp,Al-Amadiya,17
1101012,Al-Amadiya,idp,Al-Amadiya,71
1101013,Al-Amadiya,idp,Al-Amadiya,19
1101014,Al-Amadiya,idp,Al-Amadiya,7
1101019,Al-Amadiya,idp,Al-Amadiya,56
1101020,Al-Amadiya,idp,Al-Amadiya,45
1101021,Al-Amadiya,idp,Al-Amadiya,9
1101022,Al-Amadiya,idp,Al-Amadiya,6
1101023,Al-Amadiya,idp,Al-Amadiya,8
1101029,Al-Amadiya,idp,Al-Amadiya,16
1101030,Al-Amadiya,idp,Al-Amadiya,6
1101033,Al-Amadiya,idp,Al-Amadiya,10
1101034,Al-Amadiya,idp,Al-Amadiya,7
1101036,Al-Amadiya,idp,Al-Amadiya,16
1101037,Al-Amadiya,idp,Al-Amadiya,12
1101039,Al-Amadiya,idp,Al-Amadiya,6
1102001,Duhok,idp,Duhok,135
1102002,Duhok,idp,Duhok,210
1102003,Duhok,idp,Duhok,33
1102005,Duhok,idp,Duhok,64
1102006,Duhok,idp,Duhok,95
1102007,Duhok,idp,Duhok,63
1102008,Duhok,idp,Duhok,42
1102009,Duhok,idp,Duhok,318
1102010,Duhok,idp,Duhok,63
1102011,Duhok,idp,Duhok,55
1102012,Duhok,idp,Duhok,22
1102013,Duhok,idp,Duhok,36
1102014,Duhok,idp,Duhok,86
1102015,Duhok,idp,Duhok,24
1102016,Duhok,idp,Duhok,382
1102017,Duhok,idp,Duhok,29
1102018,Duhok,idp,Duhok,132
1102019,Duhok,idp,Duhok,20
1102021,Duhok,idp,Duhok,20
1102022,Duhok,idp,Duhok,275
1102023,Duhok,idp,Duhok,200
1102024,Duhok,idp,Duhok,145
1102025,Duhok,idp,Duhok,66
1102027,Sumail,idp,Sumail,104
1102029,Duhok,idp,Duhok,133
1102030,Duhok,idp,Duhok,108
1102031,Duhok,idp,Duhok,23
1102032,Duhok,idp,Duhok,170
1102033,Duhok,idp,Duhok,138
1102035,Duhok,idp,Duhok,110
1102036,Duhok,idp,Duhok,35
1102037,Duhok,idp,Duhok,21
1102038,Duhok,idp,Duhok,144
1102039,Duhok,idp,Duhok,275
1102040,Duhok,idp,Duhok,34
1102041,Duhok,idp,Duhok,57
1102042,Duhok,idp,Duhok,210
1102043,Duhok,idp,Duhok,28
1102044,Duhok,idp,Duhok,228
1102045,Duhok,idp,Duhok,80
1102046,Duhok,idp,Duhok,190
1102047,Duhok,idp,Duhok,22
1102048,Duhok,idp,Duhok,51
1102049,Duhok,idp,Duhok,79
1102050,Duhok,idp,Duhok,204
1102051,Duhok,idp,Duhok,497
1102052,Duhok,idp,Duhok,116
1102053,Duhok,idp,Duhok,98
1102057,Duhok,idp,Duhok,77
1102059,Duhok,idp,Duhok,9
1102060,Duhok,idp,Duhok,27
1102061,Duhok,idp,Duhok,38
1102063,Duhok,idp,Duhok,55
1103001,Sumail,idp,Sumail,1184
1103002,Sumail,idp,Sumail,109
1103004,Sumail,idp,Sumail,26
1103005,Sumail,idp,Sumail,169
1103006,Sumail,idp,Sumail,89
1103007,Sumail,idp,Sumail,54
1103009,Sumail,idp,Sumail,311
1103010,Sumail,idp,Sumail,276
1103011,Sumail,idp,Sumail,320
1103012,Sumail,idp,Sumail,68
1103018,Sumail,idp,Sumail,24
1103019,Sumail,idp,Sumail,21
1103020,Sumail,idp,Sumail,921
1103021,Sumail,idp,Sumail,13
1103023,Sumail,idp,Sumail,480
1103024,Sumail,idp,Sumail,1163
1103025,Sumail,idp,Sumail,4447
1103027,Sumail,idp,Sumail,88
1103028,Sumail,idp,Sumail,119
1103029,Sumail,idp,Sumail,213
1103030,Sumail,idp,Sumail,265
1103033,Sumail,idp,Sumail,198
1103034,Sumail,idp,Sumail,508
1103035,Sumail,idp,Sumail,200
1103036,Sumail,idp,Sumail,196
1103037,Sumail,idp,Sumail,41
1103038,Sumail,idp,Sumail,357
1103039,Sumail,idp,Sumail,288
1103040,Sumail,idp,Sumail,85
1103041,Sumail,idp,Sumail,76
1103042,Sumail,idp,Sumail,565
1103043,Sumail,idp,Sumail,199
1103044,Sumail,idp,Sumail,255
1103045,Sumail,idp,Sumail,141
1103046,Sumail,idp,Sumail,68
1103047,Sumail,idp,Sumail,419
1103048,Sumail,idp,Sumail,213
1103051,Sumail,idp,Sumail,10
1103052,Sumail,idp,Sumail,161
1103053,Sumail,idp,Sumail,88
1104002,Zakho,idp,Zakho,26
1104005,Zakho,idp,Zakho,200
1104012,Zakho,idp,Zakho,100
1104013,Zakho,idp,Zakho,304
1104016,Zakho,idp,Zakho,58
1104019,Zakho,idp,Zakho,593
1104020,Zakho,idp,Zakho,32
1104021,Zakho,idp,Zakho,180
1104052,Zakho,idp,Zakho,21
1104053,Zakho,idp,Zakho,29
1104054,Zakho,idp,Zakho,11
1104055,Zakho,idp,Zakho,382
1104056,Zakho,idp,Zakho,268
1104057,Zakho,idp,Zakho,162
1104058,Zakho,idp,Zakho,1202
1104059,Zakho,idp,Zakho,824
1104060,Zakho,idp,Zakho,185
1104061,Zakho,idp,Zakho,789
1104062,Zakho,idp,Zakho,975
1104063,Zakho,idp,Zakho,871
1104064,Zakho,idp,Zakho,880
1104069,Zakho,idp,Zakho,21
1104070,Zakho,idp,Zakho,18
1104071,Zakho,idp,Zakho,181
1104072,Zakho,idp,Zakho,68
1104073,Zakho,idp,Zakho,31
1104074,Zakho,idp,Zakho,10
1104075,Zakho,idp,Zakho,274
1104076,Zakho,idp,Zakho,38
1104077,Zakho,idp,Zakho,16
1202001,Erbil,idp,Erbil,40
1202003,Erbil,idp,Erbil,316
1202004,Erbil,idp,Erbil,490
1202006,Erbil,idp,Erbil,390
1202008,Erbil,idp,Erbil,270
