,id_sampl,Survey,strata,psu,DTM.Round,Place.ID,Governorate,District,Location.Name,Arabic.Name,Latitude,Longitude,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
11,id_1072,12,Al-Adhamiya,2302005,109,7730,Baghdad,Adhamia,Adhamia-312,الاعظمية-312,33.3702673,44.36085587,100,Markaz Al-Adhamiya,Baghdad,911,0.109769484,13
12,id_1073,12,Al-Adhamiya,2302006,109,23646,Baghdad,Adhamia,Adhamia-314,الأعظمية-314,33.37231728,44.36323734,85,Markaz Al-Adhamiya,Baghdad,911,0.093304061,13
13,id_1098,6,Al-Adhamiya,2302044,109,23999,Baghdad,Adhamia,Al Qahira-307,القاهرة-307,33.37876786,44.39300793,30,Markaz Al-Adhamiya,Baghdad,911,0.032930845,7
14,id_11,6,Al-Amadiya,1101012,109,7835,Dahuk,Amedi,Sarsink,سرسنك,37.03931455,43.34378169,71,Sarsank,Duhok,514,0.138132296,7
15,id_1103,12,Al-Adhamiya,2302049,109,24176,Baghdad,Adhamia,Hay Al Rabee-332,حي الربيع-332,33.39802228,44.35467188,55,Al-Fahama,Baghdad,911,0.060373216,13
16,id_111,48,Sumail,1103025,109,8369,Dahuk,Sumel,Shariya,شاريا,36.78613016,42.977951,4447,Sindi,Duhok,14538,0.305888018,50
17,id_1112,12,Al-Adhamiya,2302062,109,24003,Baghdad,Adhamia,Al Shamasiyah-320,الشماسية-320,33.38242472,44.37679153,38,Markaz Al-Adhamiya,Baghdad,911,0.041712404,13
18,id_1113,12,Al-Adhamiya,2302063,109,24002,Baghdad,Adhamia,Al Shamasiyah-316,الشماسية-316,33.37283799,44.3723549,41,Markaz Al-Adhamiya,Baghdad,911,0.045005488,13
19,id_1122,6,Al-Adhamiya,2302078,109,25398,Baghdad,Adhamia,Bob Al Sham-388,بوب الشام-388,33.45661342,44.36581761,11,Al-Fahama,Baghdad,911,0.012074643,7
20,id_1125,6,Al-Adhamiya,2302083,109,22777,Baghdad,Adhamia,Hay Al Rabee-340,حي الربيع-340,33.40538339,44.3592298,62,Al-Fahama,Baghdad,911,0.06805708,7
21,id_1128,6,Al-Adhamiya,2302088,109,22874,Baghdad,Adhamia,Hay Al Rabee-342,حي الربيع-342,33.41044477,44.35150782,44,Al-Fahama,Baghdad,911,0.048298573,7
22,id_1141,6,Al-Adhamiya,2302116,109,27325,Baghdad,Adhamia,Hay Ur-325,حي اور-325,33.39698861,44.41574137,30,Markaz Al-Adhamiya,Baghdad,911,0.032930845,7
23,id_116,12,Sumail,1103030,109,23645,Dahuk,Sumel,War City,وار ستي,36.77232116,42.92053725,265,Sindi,Duhok,14538,0.018228092,13
24,id_118,12,Sumail,1103034,109,26123,Dahuk,Sumel,Domiz-Halat,دوميز هلات,36.79469209,42.9195907,508,Sindi,Duhok,14538,0.034942908,13
25,id_1187,12,Al-Risafa,2305034,109,24698,Baghdad,Al Resafa,Baghdad Al Jadidia-723,بغداد الجديدة-723,33.30461317,44.49171833,6,Baghdad Al-Jedeeda,Baghdad,552,0.010869565,13
26,id_1188,6,Al-Risafa,2305035,109,24027,Baghdad,Al Resafa,Baghdad Al Jadidia-725,بغداد الجديدة-725,33.3127101,44.4878137,7,Baghdad Al-Jedeeda,Baghdad,552,0.012681159,7
27,id_1199,6,Al-Risafa,2305049,109,24019,Baghdad,Al Resafa,Al Karada-905,الكرادة-905,33.29523643,44.41935569,6,Al-Karrada Al-Sharqia,Baghdad,552,0.010869565,7
28,id_1204,6,Al-Risafa,2305055,109,25401,Baghdad,Al Resafa,Al Mashtal-731,المشتل-731,33.31802774,44.51160179,13,Baghdad Al-Jedeeda,Baghdad,552,0.023550725,7
29,id_1206,6,Al-Risafa,2305057,109,23210,Baghdad,Al Resafa,Al Mashtal-735,المشتل-735,33.31689858,44.50766858,10,Baghdad Al-Jedeeda,Baghdad,552,0.018115942,7
30,id_1207,6,Al-Risafa,2305058,109,23323,Baghdad,Al Resafa,Al Mashtal-751,المشتل-751,33.32242721,44.51584715,11,Baghdad Al-Jedeeda,Baghdad,552,0.019927536,7
31,id_1213,6,Al-Risafa,2305065,109,23330,Baghdad,Al Resafa,Al Nidhal-103,النضال-103,33.3277478,44.42148843,6,Al-Karrada Al-Sharqia,Baghdad,552,0.010869565,7
32,id_1216,6,Al-Risafa,2305069,109,24947,Baghdad,Al Resafa,Al Rasheed-112,الرشيد-112,33.34236156,44.38911051,7,Al-Karrada Al-Sharqia,Baghdad,552,0.012681159,7
33,id_1217,6,Al-Risafa,2305072,109,23988,Baghdad,Al Resafa,Al Riyadh-910,الرياض-910,33.30516683,44.45168219,7,Al-Karrada Al-Sharqia,Baghdad,552,0.012681159,7
34,id_123,6,Sumail,1103039,109,8800,Dahuk,Sumel,Kherava,خيرافا,36.77553199,42.78327941,288,Sindi,Duhok,14538,0.019810153,7
35,id_1237,6,Al-Risafa,2305097,109,24010,Baghdad,Al Resafa,Al Zaafaranyah-965,الزعفرانية-965,33.24585935,44.4889196,6,Al-Karrada Al-Sharqia,Baghdad,552,0.010869565,7
36,id_124,6,Sumail,1103040,109,27127,Dahuk,Sumel,Old Mam Shvana,مام شفانا قديمة,36.8031739,42.77400166,85,Sindi,Duhok,14538,0.005846746,7
37,id_1260,6,Al-Risafa,2305128,109,24474,Baghdad,Al Resafa,Al Maamil-781,المعامل-781,33.38349403,44.52825703,6,Baghdad Al-Jedeeda,Baghdad,552,0.010869565,7
38,id_1268,6,Al-Kadhmiyah,2306001,109,23619,Baghdad,Kadhimia,Ahmed Al Hamid village,قرية أحمد الحميد,33.49105257,44.2404194,7,Al-Taji,Baghdad,2657,0.00263455,7
39,id_130,6,Sumail,1103046,109,27130,Dahuk,Sumel,Old Sorka,صوركا قديمة,36.80850134,42.8235747,68,Markaz Sumail,Duhok,14538,0.004677397,7
40,id_1338,6,Al-Kadhmiyah,2306113,109,28399,Baghdad,Kadhimia,North Al Kadhimia-447,شمال الكاظمية-447,33.43918508,44.27262634,7,Al-Taji,Baghdad,2657,0.00263455,7
41,id_1352,6,Al-Karkh,2307011,109,25412,Baghdad,Karkh,Al Ghazaliya-649,الغزالية-649,33.3330645,44.29076599,34,Al-Mansour,Baghdad,3671,0.009261782,7
42,id_1357,6,Al-Karkh,2307016,109,25410,Baghdad,Karkh,Al Ghazaliya-665,الغزالية-665,33.34971793,44.26928551,17,Al-Mansour,Baghdad,3671,0.004630891,7
43,id_1362,12,Al-Karkh,2307025,109,23982,Baghdad,Karkh,Al Iskan(Al Masfi)-822,الاسكان-822(المصافي),33.25288379,44.3838092,227,Al-Mamoon,Baghdad,3671,0.061836012,13
44,id_1370,6,Al-Karkh,2307033,109,24445,Baghdad,Karkh,Al Jazaer-818,الجزائر-818,33.25171244,44.36936314,16,Al-Mamoon,Baghdad,3671,0.004358485,7
45,id_1372,12,Al-Karkh,2307035,109,23983,Baghdad,Karkh,Al Jazera-808,الجزيرة-808,33.26520112,44.39621132,40,Al-Mamoon,Baghdad,3671,0.010896214,13
46,id_1379,6,Al-Karkh,2307043,109,25933,Baghdad,Karkh,Al Mutanbi-603,المتنبي-603,33.32204322,44.35648595,12,Al-Mansour,Baghdad,3671,0.003268864,7
47,id_1386,6,Al-Mahmoudiya,2307050,109,25951,Baghdad,Karkh,Al Raie 861,الري 861,33.22199554,44.33034247,23,Al-Rasheed,Baghdad,1083,0.021237304,7
48,id_1396,6,Al-Karkh,2307063,109,23984,Baghdad,Karkh,Al Toma(Al Masfi)-826,الطعمة-826(المصافي),33.24922773,44.39621316,174,Al-Mamoon,Baghdad,3671,0.047398529,7
49,id_1400,6,Al-Karkh,2307068,109,24062,Baghdad,Karkh,Al Yarmouk-610,اليرموك-610,33.29749381,44.3489257,48,Al-Mansour,Baghdad,3671,0.013075456,7
50,id_1407,18,Al-Mahmoudiya,2307093,109,7587,Baghdad,Karkh,Al Radwania,منطقة الرضوانية,33.14601121,44.30038279,114,Al-Rasheed,Baghdad,1083,0.105263158,19
51,id_1409,6,Al-Karkh,2307097,109,21451,Baghdad,Karkh,Al Amerya-632,العامرية-632,33.2956175,44.29407777,156,Al-Mansour,Baghdad,3671,0.042495233,7
52,id_141,6,Zakho,1104012,109,8766,Dahuk,Zakho,Chamkork,جم كورك,37.13884601,42.61700983,100,Markaz Zakho,Duhok,8749,0.011429878,7
