"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var44","lsg_ed","ones",NA,"ones",1.66037735849057,NA,1.47054761112019,1.85020710586094,"district","al.kadhmiyah"
"dependent.var45","lsg_ed","ones",NA,"ones",2.06153846153846,NA,1.85429010077544,2.26878682230149,"district","beygee"
"dependent.var46","lsg_ed","ones",NA,"ones",2.00789473684211,NA,1.87693609100388,2.13885338268033,"district","al.hamdaniya"
"dependent.var47","lsg_ed","ones",NA,"ones",1.43939393939394,NA,1.20710674279585,1.67168113599203,"district","halabcha"
"dependent.var48","lsg_ed","ones",NA,"ones",1.85454545454545,NA,1.4970024826767,2.21208842641421,"district","al.mussyab"
"dependent.var49","lsg_ed","ones",NA,"ones",1.69724770642202,NA,1.48735149249784,1.9071439203462,"district","dibis"
"dependent.var50","lsg_ed","ones",NA,"ones",1.91111111111111,NA,1.66403709151198,2.15818513071024,"district","tooz.khurmato"
"dependent.var51","lsg_ed","ones",NA,"ones",1.42465753424658,NA,1.21553525796275,1.6337798105304,"district","dokan"
"dependent.var52","lsg_ed","ones",NA,"ones",1.02352941176471,NA,0.977412612128469,1.06964621140094,"district","al.kahla"
"dependent.var53","lsg_ed","ones",NA,"ones",1.76315789473684,NA,1.54705547965154,1.97926030982214,"district","makhmour"
"dependent.var54","lsg_ed","ones",NA,"ones",1.57671957671958,NA,1.41425616481476,1.7391829886244,"district","al.falluja"
"dependent.var55","lsg_ed","ones",NA,"ones",1.41,NA,1.22292761325448,1.59707238674552,"district","al.kufa"
"dependent.var56","lsg_ed","ones",NA,"ones",1.33663366336634,NA,1.17282018720719,1.50044713952548,"district","al.amadiya"
"dependent.var57","lsg_ed","ones",NA,"ones",1.04444444444444,NA,0.983195739851162,1.10569314903773,"district","al.nasiriya"
"dependent.var58","lsg_ed","ones",NA,"ones",1.2,NA,1.09002384772719,1.30997615227281,"district","al.najaf"
"dependent.var59","lsg_ed","ones",NA,"ones",1.27272727272727,NA,1.01495130092992,1.53050324452463,"district","baquba"
"dependent.var60","lsg_ed","ones",NA,"ones",1.08,NA,0.988960237119953,1.17103976288005,"district","al.khalis"
"dependent.var61","lsg_ed","ones",NA,"ones",2.28571428571429,NA,1.87152671674015,2.69990185468842,"district","al.baaj"
"dependent.var62","lsg_ed","ones",NA,"ones",1.56569343065693,NA,1.44852646136714,1.68286039994673,"district","zakho"
"dependent.var63","lsg_el","ones",NA,"ones",2.24675324675325,NA,2.15067171960802,2.34283477389847,"district","al.kaim"
"dependent.var64","lsg_el","ones",NA,"ones",1.83408071748879,NA,1.74738580424753,1.92077563073005,"district","haditha"
"dependent.var65","lsg_el","ones",NA,"ones",2.67088607594937,NA,2.56079064234747,2.78098150955127,"district","al.rutba"
"dependent.var66","lsg_el","ones",NA,"ones",1.95652173913043,NA,1.9082432250425,2.00480025321837,"district","khanaqin"
"dependent.var67","lsg_el","ones",NA,"ones",1.6,NA,1.49953855142998,1.70046144857002,"district","al.adhamiya"
"dependent.var68","lsg_el","ones",NA,"ones",1.87150837988827,NA,1.79383171188216,1.94918504789437,"district","kalar"
"dependent.var69","lsg_el","ones",NA,"ones",2.27044025157233,NA,2.1630849927276,2.37779551041705,"district","al.hatra"
"dependent.var70","lsg_el","ones",NA,"ones",1.87878787878788,NA,1.73518297474219,2.02239278283357,"district","al.muqdadiya"
"dependent.var71","lsg_el","ones",NA,"ones",2.35444947209653,NA,2.30807608945526,2.4008228547378,"district","sumail"
"dependent.var72","lsg_el","ones",NA,"ones",2.35714285714286,NA,2.12748490045092,2.5868008138348,"district","rawanduz"
"dependent.var73","lsg_el","ones",NA,"ones",2.46680497925311,NA,2.42831920854587,2.50529074996036,"district","al.mosul"
"dependent.var74","lsg_el","ones",NA,"ones",2.41151385927505,NA,2.35639682204202,2.46663089650809,"district","al.shikhan"
"dependent.var75","lsg_el","ones",NA,"ones",2.46666666666667,NA,2.34996125281865,2.58337208051469,"district","balad"
"dependent.var76","lsg_el","ones",NA,"ones",1.94545454545455,NA,1.8649201619796,2.02598892892949,"district","al.mahmoudiya"
"dependent.var77","lsg_el","ones",NA,"ones",2.30434782608696,NA,2.2084958621061,2.40019979006782,"district","ana"
"dependent.var78","lsg_el","ones",NA,"ones",2.59345794392523,NA,2.52022858457993,2.66668730327053,"district","sinjar"
"dependent.var79","lsg_el","ones",NA,"ones",1.37362637362637,NA,1.27368108411709,1.47357166313566,"district","al.diwaniya"
"dependent.var80","lsg_el","ones",NA,"ones",1.62068965517241,NA,1.50396886123777,1.73741044910705,"district","kerbela"
"dependent.var81","lsg_el","ones",NA,"ones",1.22826086956522,NA,1.16560306464644,1.290918674484,"district","al.hindiya"
"dependent.var82","lsg_el","ones",NA,"ones",1.9047619047619,NA,1.81044262277324,1.99908118675057,"district","al.ramadi"
"dependent.var83","lsg_el","ones",NA,"ones",2.52835820895522,NA,2.46593971868787,2.59077669922258,"district","tikrit"
"dependent.var84","lsg_el","ones",NA,"ones",2.2742474916388,NA,2.19396109569496,2.35453388758263,"district","erbil"
"dependent.var85","lsg_el","ones",NA,"ones",2.39908256880734,NA,2.32247026926898,2.4756948683457,"district","tilkaef"
"dependent.var86","lsg_el","ones",NA,"ones",2.71018276762402,NA,2.66081291058414,2.7595526246639,"district","al.shirqat"
"dependent.var87","lsg_el","ones",NA,"ones",2.17901234567901,NA,2.12740404440143,2.2306206469566,"district","kirkuk"
"dependent.var88","lsg_el","ones",NA,"ones",2.08571428571429,NA,1.8828955750674,2.28853299636117,"district","samarra"
"dependent.var89","lsg_el","ones",NA,"ones",2.15454545454545,NA,2.05589924671432,2.25319166237658,"district","chamchamal"
"dependent.var90","lsg_el","ones",NA,"ones",2.54166666666667,NA,2.44083846764047,2.64249486569286,"district","al.hawiga"
"dependent.var91","lsg_el","ones",NA,"ones",1.79166666666667,NA,1.68609004011407,1.89724329321926,"district","al.risafa"
"dependent.var92","lsg_el","ones",NA,"ones",2.31132075471698,NA,2.18163784713174,2.44100366230222,"district","shaqlawa"
"dependent.var93","lsg_el","ones",NA,"ones",1.6,NA,1.46352562552547,1.73647437447453,"district","al.kut"
"dependent.var94","lsg_el","ones",NA,"ones",2.03463203463203,NA,1.95499138727706,2.11427268198701,"district","al.sulaymaniyah"
"dependent.var95","lsg_el","ones",NA,"ones",2.29906542056075,NA,2.18497795466975,2.41315288645174,"district","duhok"
"dependent.var96","lsg_el","ones",NA,"ones",2.32283464566929,NA,2.19718700435419,2.4484822869844,"district","koysinjaq"
"dependent.var97","lsg_el","ones",NA,"ones",2.52482269503546,NA,2.42504050549528,2.62460488457564,"district","heet"
"dependent.var98","lsg_el","ones",NA,"ones",2.50738916256158,NA,2.41934931105654,2.59542901406661,"district","telafar"
"dependent.var99","lsg_el","ones",NA,"ones",2.13392857142857,NA,2.01867172709152,2.24918541576563,"district","rania"
"dependent.var100","lsg_el","ones",NA,"ones",1.60185185185185,NA,1.49890787109429,1.70479583260941,"district","al.karkh"
"dependent.var101","lsg_el","ones",NA,"ones",2.29439252336449,NA,2.19618030806698,2.39260473866199,"district","aqra"
"dependent.var102","lsg_el","ones",NA,"ones",2.09821428571429,NA,1.97155313231041,2.22487543911816,"district","derbendikhan"
"dependent.var103","lsg_el","ones",NA,"ones",1.17341040462428,NA,1.09907923451027,1.24774157473828,"district","al.basrah"
"dependent.var104","lsg_el","ones",NA,"ones",2.11013215859031,NA,2.04879344016117,2.17147087701945,"district","daquq"
"dependent.var105","lsg_el","ones",NA,"ones",1.69791666666667,NA,1.56772673189486,1.82810660143847,"district","al.suwaira"
"dependent.var106","lsg_el","ones",NA,"ones",1.80188679245283,NA,1.7056394577957,1.89813412710996,"district","kifri"
"dependent.var107","lsg_el","ones",NA,"ones",2.01509433962264,NA,1.93193627285185,2.09825240639343,"district","al.kadhmiyah"
"dependent.var108","lsg_el","ones",NA,"ones",2.37430167597765,NA,2.27252149315991,2.4760818587954,"district","beygee"
"dependent.var109","lsg_el","ones",NA,"ones",2.396933560477,NA,2.34425230916493,2.44961481178907,"district","al.hamdaniya"
"dependent.var110","lsg_el","ones",NA,"ones",1.89130434782609,NA,1.76116057030649,2.02144812534568,"district","halabcha"
"dependent.var111","lsg_el","ones",NA,"ones",1.97619047619048,NA,1.82057219831824,2.13180875406272,"district","al.mussyab"
"dependent.var112","lsg_el","ones",NA,"ones",2.18181818181818,NA,2.10424552082546,2.2593908428109,"district","dibis"
"dependent.var113","lsg_el","ones",NA,"ones",2.50194552529183,NA,2.43610293154155,2.56778811904211,"district","tooz.khurmato"
"dependent.var114","lsg_el","ones",NA,"ones",2.14678899082569,NA,2.05179823586868,2.2417797457827,"district","dokan"
"dependent.var115","lsg_el","ones",NA,"ones",1.28813559322034,NA,1.20937462136045,1.36689656508023,"district","al.kahla"
"dependent.var116","lsg_el","ones",NA,"ones",2.30864197530864,NA,2.20244772159283,2.41483622902446,"district","makhmour"
"dependent.var117","lsg_el","ones",NA,"ones",1.9971098265896,NA,1.92880047436831,2.06541917881089,"district","al.falluja"
"dependent.var118","lsg_el","ones",NA,"ones",1.50515463917526,NA,1.41427792691255,1.59603135143797,"district","al.kufa"
"dependent.var119","lsg_el","ones",NA,"ones",2.30188679245283,NA,2.2033405415982,2.40043304330746,"district","al.amadiya"
"dependent.var120","lsg_el","ones",NA,"ones",1.20945945945946,NA,1.13369851384455,1.28522040507437,"district","al.nasiriya"
"dependent.var121","lsg_el","ones",NA,"ones",1.78260869565217,NA,1.71914465327646,1.84607273802789,"district","al.najaf"
"dependent.var122","lsg_el","ones",NA,"ones",2.29166666666667,NA,2.16542928582713,2.41790404750621,"district","baquba"
"dependent.var123","lsg_el","ones",NA,"ones",2.37327188940092,NA,2.28992304695993,2.45662073184191,"district","al.khalis"
"dependent.var124","lsg_el","ones",NA,"ones",2.54901960784314,NA,2.41109687734222,2.68694233834405,"district","al.baaj"
"dependent.var125","lsg_el","ones",NA,"ones",2.38481012658228,NA,2.3291507130411,2.44046954012346,"district","zakho"
